epoch,train_loss,valid_loss,foreground_acc,time
0,0.03032434917986393,0.021564530208706856,3.914660555892624e-05,00:27
1,0.025221146643161774,0.01566684991121292,0.4530865550041199,00:27
2,0.022098222747445107,0.019274387508630753,0.14251473546028137,00:27
3,0.019133182242512703,0.015199274756014347,0.43495282530784607,00:27
4,0.016847847029566765,0.010117437690496445,0.5504681468009949,00:27
5,0.015031659975647926,0.010804170742630959,0.551588773727417,00:27
6,0.01307917945086956,0.009145567193627357,0.6557570695877075,00:27
7,0.011714733205735683,0.008694574236869812,0.6650014519691467,00:27
8,0.01085917092859745,0.007727055810391903,0.707889199256897,00:27
9,0.01001716684550047,0.008812295272946358,0.6739193201065063,00:27
10,0.009414554573595524,0.007473824080079794,0.7008026838302612,00:27
11,0.008404439315199852,0.01246023178100586,0.5730646848678589,00:27
12,0.007852556183934212,0.007272094022482634,0.7218592762947083,00:27
13,0.007650728337466717,0.008329438976943493,0.6727113127708435,00:27
14,0.0074091702699661255,0.0067598712630569935,0.7598152160644531,00:27
15,0.007057457696646452,0.0067332773469388485,0.7351933717727661,00:27
16,0.006603939924389124,0.006569139193743467,0.7528215646743774,00:27
17,0.006311939563602209,0.007612715940922499,0.7012831568717957,00:27
18,0.006152213551104069,0.007113401312381029,0.7214731574058533,00:27
19,0.005876471754163504,0.007478209678083658,0.7291237711906433,00:27
20,0.005703128408640623,0.008031467907130718,0.6979564428329468,00:27
21,0.0054613146930933,0.0069310013204813,0.7435571551322937,00:27
22,0.005349156446754932,0.007617773953825235,0.7230479121208191,00:27
23,0.005401305388659239,0.006836713757365942,0.7504993677139282,00:27
24,0.005316402297466993,0.0068939924240112305,0.7492037415504456,00:27
